round_no, 1
NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=1.159s, table=0, n_packets=586, n_bytes=666868, idle_timeout=60, idle_age=1, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=62:d0:1d:af:00:64,nw_src=10.0.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=35091,tp_dst=8999 actions=output:4
 cookie=0x0, duration=1.164s, table=0, n_packets=590, n_bytes=671420, idle_timeout=60, idle_age=0, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=c6:ce:98:87:f7:03,nw_src=10.0.0.1,nw_dst=10.0.0.7,nw_tos=0,tp_src=35515,tp_dst=8999 actions=output:7
 cookie=0x0, duration=1.157s, table=0, n_packets=585, n_bytes=665730, idle_timeout=60, idle_age=0, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=1e:99:e0:6c:f8:b5,nw_src=10.0.0.1,nw_dst=10.0.0.8,nw_tos=0,tp_src=53145,tp_dst=8999 actions=output:8
 cookie=0x0, duration=1.193s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=1e:99:e0:6c:f8:b5,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.8,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=42968 actions=output:1
 cookie=0x0, duration=1.195s, table=0, n_packets=6, n_bytes=424, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=fa:86:9c:ff:89:18,nw_src=10.0.0.1,nw_dst=10.0.0.5,nw_tos=0,tp_src=56436,tp_dst=9000 actions=output:5
 cookie=0x0, duration=1.201s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=6,vlan_tci=0x0000,dl_src=2e:56:b8:88:70:49,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.6,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=49638 actions=output:1
 cookie=0x0, duration=1.161s, table=0, n_packets=587, n_bytes=668006, idle_timeout=60, idle_age=0, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=2e:56:b8:88:70:49,nw_src=10.0.0.1,nw_dst=10.0.0.6,nw_tos=0,tp_src=50037,tp_dst=8999 actions=output:6
 cookie=0x0, duration=1.201s, table=0, n_packets=5, n_bytes=358, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=2e:56:b8:88:70:49,nw_src=10.0.0.1,nw_dst=10.0.0.6,nw_tos=0,tp_src=49638,tp_dst=9000 actions=output:6
 cookie=0x0, duration=1.152s, table=0, n_packets=583, n_bytes=663454, idle_timeout=60, idle_age=0, priority=65535,udp,in_port=1,vlan_tci=0x0000,dl_src=b2:16:05:a0:b4:f1,dl_dst=0e:c5:06:cb:ad:47,nw_src=10.0.0.1,nw_dst=10.0.0.2,nw_tos=0,tp_src=44990,tp_dst=8999 actions=output:2
 cookie=0x0, duration=1.198s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=7,vlan_tci=0x0000,dl_src=c6:ce:98:87:f7:03,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=42990 actions=output:1
 cookie=0x0, duration=1.162s, table=0, n_packets=4, n_bytes=280, idle_timeout=60, idle_age=1, priority=65535,tcp,in_port=3,vlan_tci=0x0000,dl_src=1e:84:dc:55:7c:95,dl_dst=b2:16:05:a0:b4:f1,nw_src=10.0.0.3,nw_dst=10.0.0.1,nw_tos=0,tp_src=9000,tp_dst=38652 actions=output:1
